Genre,teas1,teas2,teas3,teas4,teas5,Gender,ethn,trait1,trait2,trait3
Action,"Meet {name} {surname}, a rogue ex-Navy SEAL, who defies the odds to fight for justice. After discovering a sinister conspiracy that threatens the world, {name} battles his way through a gauntlet of danger and betrayal. Armed with unmatched skills and unbreakable determination, {he_she}'ll stop at nothing to save humanity. Brace yourself for a high-octane adventure as {name} faces off against the deadliest foes imaginable. Witness the birth of a new action hero in ""Vengeance Unleashed.""","When a mysterious artifact is stolen, antiquities hunter and martial arts expert {name} {surname} is the only one capable of retrieving it. As {he_she} delves into the dangerous underworld of black-market artifacts, {he_she} uncovers a deadly secret that could change history. {name} will have to rely on {his_her} cunning, combat skills, and unyielding spirit to outwit the ruthless villains and protect the world. Get ready to embark on a heart-pounding journey full of treachery and jaw-dropping action in ""The Relic Hunter.""","In a futuristic city controlled by powerful corporations, renegade cybernetic detective {name} {surname} fights to expose the truth. As {he_she} uncovers a labyrinth of corruption and deceit, {he_she} must confront the demons of {his_her} own past to save the city {he_she} loves. With {his_her} unique blend of high-tech gadgetry and brutal combat skills, {name} will risk everything to bring the corrupt to their knees. Prepare for a pulse-pounding, cyberpunk thrill ride that will keep you on the edge of your seat in ""Neon Justice.""",,,Male,Caucasian,Physically strong,Fearless,Lone hero
Adventure,"In a world ravaged by ancient monsters, fearless adventurer and archaeologist Dr. {name} {surname} races against time to uncover the long-lost city of Atlantis. Armed with unyielding determination and unmatched wit, {he_she} must decode cryptic clues left behind by an ancient civilization. As {he_she} plunges deeper into uncharted territory, {name} discovers that the key to saving humanity lies within the forgotten city. But will {he_she} unlock the secrets before it's too late? Join Dr. {surname} on an exhilarating journey that will change the course of history.","Deep within the Amazon rainforest, spirited pilot and explorer {name} ""Sky"" {surname} embarks on the adventure of a lifetime. Searching for a mythical artifact with the power to alter the world's fate, {name}'s passion and courage are put to the test. But {he_she}'s not the only one seeking the treasure, as a ruthless adversary with a dark agenda threatens to change everything. As the race against time intensifies, {name} must navigate the treacherous jungle and unmask the truth behind the legend. Witness the breathtaking quest where nothing is what it seems.","In a post-apocalyptic wasteland, a daring nomad named {name} sets out on an epic quest to restore balance to the shattered world. With unmatched combat skills and a heart of gold, {name} must navigate treacherous landscapes filled with ruthless warlords and mutated creatures. Along the way, {he_she} discovers an ancient prophecy that could bring about a new era of peace. But will {name}'s resilience and determination be enough to overcome the insurmountable odds? Brace yourself for an unforgettable adventure that redefines the limits of human courage.",,,Male,Caucasian,Brave,Intelligent,Explorer
Sci-Fi,"In a distant future, mankind faces extinction at the hands of an advanced alien race. Meet {name}, a brilliant but rebellious engineer with a rare gift for communicating with alien technology. When a mysterious artifact is discovered, {name} is humanity's last hope to decipher its secrets and find the key to survival. As {he_she} ventures into uncharted territory, {he_she}'ll uncover not only the truth about the aliens but {his_her} own destiny as well. Witness the thrilling journey of a {gender} destined to change the course of history in ""The Celestial Code.""","Earth has been enveloped in a never-ending darkness, with humanity surviving in artificially lit cities. Introducing {name}, a former solar engineer who's been haunted by his past mistakes. After stumbling upon a conspiracy that could plunge the world into eternal darkness, {name} must harness {his_her} knowledge of the lost solar technology to bring back the light. Navigating treacherous terrain and sinister enemies, can {he_she} reignite hope for humanity? Prepare for a gripping and electrifying adventure in ""Solar Requiem.""","A catastrophic event has left Earth uninhabitable, forcing humanity to seek refuge on a distant planet. Enter Dr. {name} {surname}, a renowned astrobiologist with an insatiable curiosity and an unwavering spirit. As {he_she} explores this new world, {he_she} encounters a species of sentient lifeforms with a unique connection to Earth's past. As alliances are forged and secrets unravel, {name} must decide the fate of two worlds, forever entwined. Witness an interstellar odyssey of discovery and redemption in ""Echoes of Terra.""",,,Male,Caucasian,Genius,Introverted,Innovator
Romantic Comedy,"Meet {name}, a quirky, lovable librarian who's always got {his_her} nose in a book. When a mysterious, charming stranger enters {his_her} library, {his_her} world gets turned upside down. Can {he_she} find the courage to step out of the pages and into {his_her} own love story? Watch as these two bibliophiles come together, unraveling secrets and discovering the power of true love in ""Love Between the Stacks.""","Introducing {name}, a shy, introverted baker who's just opened his dream bakery. When a captivating food critic named Emma comes to review his creations, they find themselves drawn to each other. As they navigate the sweet and savory world of pastries, they'll discover that love is the most delicious recipe of all. Join {name} and Emma in ""Sugar-Coated Love"" for a delightful, heartwarming journey into the world of romance.","In ""Love on the Dance Floor,"" follow {name}, a free-spirited dance instructor who's determined to find {his_her} perfect partner. When a clumsy, endearing businessman named Jack enrolls in {his_her} class, their chemistry is undeniable. As they waltz through their differences, they'll learn that the most important steps in life aren't always choreographed. Watch as these two unlikely hearts tango their way into each other's arms in this laugh-out-loud romantic comedy.",,,Female,Caucasian,Quirky,Clumsy,Hopeless romantic
Horror,"Darkness Falls: When an ancient curse returns to the small town of Ravenwood, introverted historian {name} {surname} must confront {his_her} darkest fears. Armed with {his_her} knowledge of local legends, {he_she} finds herself in a race against time to save {his_her} community from the vengeful spirits. In the shadows, terror awaits, and Emily must face {his_her} past to secure her future. Darkness Falls - where history and horror collide.","Whispering Woods: Deep in the heart of the Whispering Woods, deaf park ranger {name} {surname} discovers an abandoned cabin with a sinister secret. As {he_she} uncovers the mysteries within, {he_she} becomes the target of a malevolent force that can manipulate the very sounds of nature. Plunged into a silent nightmare, {name} must rely on {his_her} instincts and courage to survive. Whispering Woods - when silence is your only weapon.","The Marionette: Renowned puppeteer {name} {surname} finds an eerie marionette hidden in the attic of her new home, stirring something dark and unsettling within {him_her}. As {he_she} begins to lose control of {his_her} life, the marionette's influence grows stronger, terrorizing {his_her} family and friends. {name} must battle against the strings of {his_her} own mind to stop the living nightmare. The Marionette - when the puppet master becomes the puppet.",,,Female,Caucasian,Vulnerable,Innocent,Final girl
Fantasy,"In the mystical world of Avaloria, a young and daring elemental mage named {name} embarks on a perilous quest to find the fabled Phoenix Stone. Blessed with the power to control the four elements, {he_she}'s the only hope for {his_her} people against the rising tide of darkness. With every step, Elara discovers more about {his_her} mysterious past and the true scope of {his_her} abilities. Will {he_she} harness {his_her} elemental powers to save {his_her} homeland, or will {he_she} be consumed by the very forces {he_she} seeks to defeat? Join {name} as {he_she} defies the odds in this breathtaking fantasy adventure.","Deep within the enchanted forests of Everglow, a solitary and enigmatic wanderer named {name} crosses paths with a magical creature that will change {his_her} life forever. A skilled warrior with a heart of gold, {name} is forced to confront {his_her} haunted past while protecting the creature from sinister forces that seek to exploit its powers. Along the way, {he_she} learns the true meaning of friendship and the incredible power that lies within {him_her}. Embark on a thrilling journey of magic, courage, and self-discovery in this captivating fantasy film.","In the mystical realm of Solendria, a fierce dragon rider named {name} takes to the skies to defend {his_her} kingdom from an ancient and powerful enemy. Known for {his_her} unmatched bravery and unwavering loyalty, {he_she} forms an unbreakable bond with {his_her} dragon, Ember. Together, they face perilous challenges, uncover ancient secrets, and battle the forces of darkness threatening their world. Join {name} and Ember as they soar through the skies in this epic, heart-pounding fantasy film that will leave you breathless.","Amidst the enchanted lands of Luminesia, a young and talented bard named {name} is chosen by a magical harp to embark on a dangerous mission. With {his_her} soulful voice and unparalleled musical gifts, {name} must journey through treacherous lands, awaken the ancient Guardians, and restore harmony to {his_her} realm. Along the way, {he_she} discovers {his_her} true potential and the profound impact {his_her} music has on the world. Experience the power of music and the magic of friendship in this inspiring and enchanting fantasy tale.","In the hidden world of Mythania, a daring and resourceful thief named {name} is entrusted with a powerful artifact that could change the fate of {his_her} realm. Known for {his_her} quick wit and unparalleled agility, {name} must evade the relentless pursuit of a dark and powerful sorcerer who seeks to harness the artifact's power for her own sinister purposes. As {he_she} races against time, Zara uncovers the true nature of the artifact and the destiny that awaits {him_her}. Dive into a thrilling world of magic, mystery, and adventure in this exhilarating fantasy film.",Male,Caucasian,Chosen one,Magical powers,Reluctant hero
Martial Arts,"Meet {name}, a young martial arts prodigy seeking to avenge {his_her} family's wrongful death. Embark on a whirlwind adventure filled with ancient techniques, forbidden scrolls, and breathtaking fight scenes. Watch as {name} faces {his_her} greatest fears, unlocks hidden powers, and uncovers the truth about {his_her} lineage. In a world of chaos and betrayal, can one young warrior restore honor to {his_her} family name? Don't miss ""The Last Dragon Warrior"" - a tale of love, loss, and redemption.","Follow the story of {name}, a skilled martial artist and undercover agent on a dangerous mission. Infiltrating the heart of a ruthless crime syndicate, {he_she} must navigate a world of deception and betrayal. With gravity-defying stunts, edge-of-your-seat action, and heart-stopping fight sequences, ""Shadow of the Lotus"" will leave you breathless. Can {name} dismantle the organization from within and save the city from a deadly fate? Witness {his_her} journey to become the ultimate martial arts heroine.","When a ruthless gang terrorizes a small village, the fate of the people rests in the hands of {name}, a humble farmer with a hidden past. Rising from obscurity, {he_she} must embrace {his_her} destiny and reawaken the martial arts mastery {he_she} once left behind. Witness {name}'s transformation into a legendary warrior in ""Fist of the Phoenix,"" an epic tale of courage, sacrifice, and redemption. Will {he_she} be able to vanquish the evil that threatens {his_her} home and fulfill {his_her} true potential? Prepare for an unforgettable battle of wills.","Step into the world of ""The Iron Monk,"" where {name}, an orphan raised by a mysterious order of monks, discovers the truth of {his_her} heritage. As {he_she} uncovers ancient martial arts secrets, {name} must defend {his_her} temple from an onslaught of deadly enemies. With breathtaking choreography, stunning landscapes, and a heart-stirring soundtrack, ""The Iron Monk"" is an unforgettable martial arts masterpiece. Can {name} protect {his_her} home and fulfill {his_her} destiny as the chosen one? Witness the birth of a legend.","In the thrilling martial arts epic ""Swords of the Wind,"" a wandering swordsman named {name} stumbles upon a village plagued by an evil warlord. Vowing to protect the innocent and avenge the fallen, {name} embarks on a quest to defeat the merciless tyrant. Watch as {he_she} harnesses the power of the elements, performing awe-inspiring martial arts feats that defy the laws of nature. Will {name}'s mastery of the blade be enough to restore peace and justice? Journey with {him_her} on this unforgettable adventure that will leave you on the edge of your seat.",Male,Asian,Disciplined,Skilled fighter,Stoic
Western,"In a dusty, lawless frontier town, a lone gunslinger with a haunted past {name} {surname} rides in, seeking redemption. The arrival of a dangerous outlaw threatens the fragile peace, and {name} must confront {his_her} demons to save the town. As bullets fly and secrets unravel, will {name} find the redemption {he_she} seeks, or will {his_her} past drag {him_her} back into the darkness? Witness the thrilling showdown in ""Redemption's Edge.""","In the unforgiving wild west, a tough-as-nails bounty hunter, {name} ""Steelshot"" {surname}, faces {his_her} greatest challenge yet. A ruthless gang has kidnapped {his_her} sister, and {name} must rely on {his_her} wits, grit, and unerring aim to bring them to justice. Along the way, {he_she}'ll discover shocking truths and forge unexpected alliances. Don't miss the heart-pounding action in ""Steelshot's Reckoning.""","Amidst the sun-scorched plains of the old west, a mysterious preacher with a shadowy past, Reverend {name} {surname}, is on a divine mission. When {his_her} sleepy desert town is terrorized by a brutal gang, {name} takes up arms to protect the innocent. As the battle between good and evil rages, will {his_her} faith prove enough to defeat the darkness? Experience the epic tale of faith and vengeance in ""The Preacher's Fury.""","In a lawless gold-mining town, notorious gambler and quick-draw artist, {name} ""Blackjack"" {surname}, is after the biggest score of {his_her} life. When {he_she} uncovers a sinister plot that threatens the town and its newfound riches, {name} must make a choice between personal gain and the greater good. Can {he_she} outwit {his_her} enemies and save the town before the stakes are raised too high? Place your bets in ""Blackjack's Gold.""","Deep in the heart of the wild west, a grizzled and weary former lawman, {name} ""Graveyard"" {surname}, embarks on one final mission. When a deadly gang of outlaws kidnaps {his_her} estranged son, {name} must return to the life {he_she} left behind and face the dark secrets of {his_her} past. As {he_she} navigates a treacherous path to rescue {his_her} son, will {he_she} find redemption, or will the sins of the past consume {him_her}? Prepare for the emotional rollercoaster of ""Graveyard's Last Stand.""",Male,Caucasian,Rugged,Stoic,Gunslinger
Gangster,"In the gritty underbelly of New York City, {name} ""The Fist"" {surname}, a cold-hearted mob enforcer, must navigate a deadly turf war to protect {his_her} family and secure {his_her} legacy. With {his_her} steely gaze and brutal determination, no one is safe from {his_her} wrath. Can {he_she} uphold {his_her} reputation and survive the treacherous gangland? Betrayal, vengeance, and an unyielding thirst for power collide in this explosive crime saga. The Fist is coming, and {he_she}'s taking no prisoners.","Ruthless and cunning, {name} ""The Razor"" {surname} runs the streets of Chicago with an iron fist. As the city's most feared mob boss, {he_she} faces a new challenge when an ambitious rival threatens {his_her} criminal empire. Torn between loyalty and survival, {name} must outsmart {his_her} enemies and protect {his_her} blood-soaked throne. Experience a heart-pounding game of cat and mouse, where one wrong move can cost you everything. Trust no one in this high-stakes world of deception and brutality.","Las Vegas lights up with neon and sin, but beneath its glittering surface lurks a deadly secret. {name} ""Vegas"" {surname}, a suave and calculating mobster, rules the city's casinos with an unbreakable grip. When a dangerous alliance of enemies emerges, hell-bent on taking over {his_her} turf, {surname} must fight to protect {his_her} kingdom and the people {he_she} loves. Greed, loyalty, and ambition collide in this electrifying tale of power and betrayal. In this city, the house always wins.","In the shadowy streets of 1960s London, notorious gangster {name} ""The Suit"" {surname} balances {his_her} life of crime with an impeccable sense of style. But when a ruthless new gang invades {his_her} territory, {name} faces the toughest fight of {his_her} life. With {his_her} empire on the line, {he_she} must outwit and outmaneuver {his_her} enemies to keep {his_her} family safe and preserve {his_her} hard-earned legacy. Danger, deception, and double-crosses await in this stylish tale of loyalty, love, and retribution. The Suit is about to teach them a lesson they'll never forget.","In the sun-drenched streets of Miami, {name} ""La Reina"" {surname} is a force to be reckoned with. As the city's first {male_female} crime boss, {he_she} balances {his_her} ruthless ambition with a fierce dedication to {his_her} family. When a betrayal threatens everything {he_she}'s built, La Reina must do whatever it takes to protect {his_her} empire and exact revenge on those who dared to cross {him_her}. Dive into a world of luxury, power, and retribution in this thrilling gangster epic.",Male,Italian-American,Ruthless,Ambitious,Mobster
War,"Amidst the raging inferno of World War II, Captain {name} {surname}, a fearless and hardened soldier, leads a daring mission deep behind enemy lines. As they face insurmountable odds, {surname}'s unwavering determination and tactical brilliance keep the team alive. But when a devastating secret is revealed, the very fabric of their brotherhood is tested. Will {surname}'s loyalty to {his_her} men prevail, or will the cost of war be too high? The battlefield awaits in ""A Soldier's Honor.""","In the treacherous jungles of Vietnam, Sergeant {name} ""Razor"" {surname}, a skilled sharpshooter with a haunted past, fights for survival and redemption. As {his_her} unit becomes increasingly isolated, {surname} must make tough decisions in order to protect {his_her} comrades. When an unexpected ally offers a chance at salvation, {he_she} must confront {his_her} demons and choose between duty and morality. Prepare for an adrenaline-pumping journey in ""Shadows of the Jungle.""","Set in the unforgiving trenches of World War I, Private {name} {surname}, a compassionate and courageous medic, navigates the chaos of war to save lives. As the horrors around {him_her} grow, {surname} discovers an unexpected friendship that rekindles {his_her} faith in humanity. Together, they must overcome their fears and embark on a harrowing mission to prevent a catastrophic attack. Witness the power of human connection in ""Trenches of the Heart.""","In the futuristic world of 2150, Earth is ravaged by a never-ending war between human nations and advanced machines. Commander {name} {surname}, a fierce and resourceful leader, takes command of an elite resistance squad. Outnumbered and outgunned, {surname} and {his_her} team must infiltrate the machine's stronghold and disable their doomsday weapon. The fate of humanity hangs in the balance in ""Mechanical Warfare.""","Set during the brutal conflict of the Korean War, Lieutenant {name} {surname}, a cunning and patriotic South Korean officer, is sent on a covert mission to dismantle the North's secret weapon. As he infiltrates enemy territory, {surname} faces deception, betrayal, and a crisis of conscience. In a war where trust is a luxury, {surname} must make the ultimate sacrifice for {his_her} country. Experience the heart-pounding suspense in ""Line of Duty.""",Male,Caucasian,American/British,Brave,Patriotic soldier
